run,case,relpath,file_name,basic_file,expected_run_file
standard,Cavity,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\Cavity\1\0\omega
standard,counterFlowFlame2D,0/Qdot,Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\counterFlowFlame2D\1\0\Qdot
standard,counterFlowFlame2D,0/uniform/time,time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\uniform\time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\counterFlowFlame2D\1\0\uniform\time
standard,damBreakWithObstacle,0/alpha.water,alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\alpha.water
standard,damBreakWithObstacle,0/alpha.water.orig,alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\alpha.water.orig
standard,damBreakWithObstacle,0/k,k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\k
standard,damBreakWithObstacle,0/nut,nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\nut
standard,damBreakWithObstacle,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\omega
standard,damBreakWithObstacle,0/p_rgh,p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\p_rgh
standard,damBreakWithObstacle,0/U,U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\U
standard,damBreakWithObstacle,0/U.orig,U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\U.orig
standard,damBreakWithObstacle,constant/dynamicMeshDict,dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\dynamicMeshDict
standard,damBreakWithObstacle,constant/g,g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\g
standard,damBreakWithObstacle,constant/momentumTransport,momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\momentumTransport
standard,damBreakWithObstacle,constant/phaseProperties,phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\phaseProperties
standard,damBreakWithObstacle,constant/physicalProperties.air,physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\physicalProperties.air
standard,damBreakWithObstacle,constant/physicalProperties.water,physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\physicalProperties.water
standard,damBreakWithObstacle,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\decomposeParDict
standard,damBreakWithObstacle,system/setFieldsDict,setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\setFieldsDict
standard,damBreakWithObstacle,system/topoSetDict,topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\topoSetDict
standard,shallowWaterWithSquareBump,0/h,h,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\h,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\h
standard,shallowWaterWithSquareBump,0/h.orig,h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\h.orig
standard,shallowWaterWithSquareBump,0/hTotal,hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hTotal
standard,shallowWaterWithSquareBump,0/hU,hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hU
standard,shallowWaterWithSquareBump,0/hU.orig,hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hU.orig
standard,shallowWaterWithSquareBump,constant/h0,h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\constant\h0
standard,shallowWaterWithSquareBump,constant/h0.orig,h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\constant\h0.orig
standard,squareBend,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\squareBend\1\system\decomposeParDict
standard,squareBend,system/fvConstraints,fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\squareBend\1\system\fvConstraints
